xgb_1,xgb_2,xgb_3,xgb_4,xgb_5
0.24494706094264984,0.2671023905277252,0.25059300661087036,0.24602782726287842,0.24213677644729614
0.3726591467857361,0.37360742688179016,0.3522215187549591,0.3824334740638733,0.3761860132217407
0.15629810094833374,0.2098456770181656,0.19306480884552002,0.20496419072151184,0.1985926777124405
0.18639172613620758,0.20661355555057526,0.1847628653049469,0.17766974866390228,0.17868231236934662
0.003930447623133659,0.00965739693492651,0.003706456860527396,0.001841981546021998,0.0015810738550499082
0.19596537947654724,0.18180353939533234,0.17503128945827484,0.19462625682353973,0.1745023876428604
0.189167782664299,0.16611754894256592,0.16807816922664642,0.21500472724437714,0.19553638994693756
0.18212954699993134,0.200252503156662,0.19509068131446838,0.19812273979187012,0.20362907648086548
0.32365983724594116,0.29873836040496826,0.33564361929893494,0.3541145920753479,0.33219149708747864
0.2527899742126465,0.21699099242687225,0.2299344390630722,0.21258729696273804,0.21624693274497986
0.12045067548751831,0.12766659259796143,0.10859701782464981,0.10848868638277054,0.12494072318077087
0.22485344111919403,0.21785737574100494,0.2324591428041458,0.21561498939990997,0.24891529977321625
0.2562869191169739,0.27533432841300964,0.288828045129776,0.2928397059440613,0.2743605375289917
0.2543056905269623,0.25369057059288025,0.260420024394989,0.22329480946063995,0.22012177109718323
0.46444639563560486,0.47476470470428467,0.44138264656066895,0.4760858416557312,0.4288061559200287
0.24414026737213135,0.25278279185295105,0.23807373642921448,0.2424091100692749,0.25162795186042786
0.0447813905775547,0.0477607287466526,0.04553345590829849,0.04054008051753044,0.04521791636943817
0.14321856200695038,0.14743919670581818,0.1523529291152954,0.1580173373222351,0.14429548382759094
0.3972756564617157,0.30825671553611755,0.3075239956378937,0.3091184198856354,0.2910984754562378
0.05902940779924393,0.06639084964990616,0.06258422136306763,0.06387753039598465,0.06571969389915466
0.17862144112586975,0.20111750066280365,0.2011331170797348,0.18419910967350006,0.20399759709835052
0.32012319564819336,0.36607611179351807,0.3744264245033264,0.3639024496078491,0.3710840940475464
0.23732657730579376,0.21323908865451813,0.22778724133968353,0.22547601163387299,0.23270955681800842
0.2282712757587433,0.22779501974582672,0.2433658242225647,0.2487296313047409,0.24296331405639648
0.23342548310756683,0.27996355295181274,0.2809019684791565,0.2826307415962219,0.29899266362190247
0.2611375153064728,0.2737589180469513,0.24387145042419434,0.22537827491760254,0.22226211428642273
0.18933917582035065,0.1798391342163086,0.19984497129917145,0.20408843457698822,0.18151436746120453
0.13905498385429382,0.18076513707637787,0.1364627182483673,0.10265537351369858,0.09898419678211212
0.34579676389694214,0.3219727873802185,0.3582334816455841,0.33543166518211365,0.3383309245109558
0.4666258692741394,0.4392368495464325,0.4209095239639282,0.4776190519332886,0.44850894808769226
0.08040202409029007,0.12981128692626953,0.13652822375297546,0.1385290026664734,0.12768954038619995
0.2753343880176544,0.27704739570617676,0.26499494910240173,0.30161428451538086,0.2719782292842865
0.1962859034538269,0.21110613644123077,0.21305397152900696,0.21159151196479797,0.20650413632392883
0.23733186721801758,0.2622896134853363,0.2309042364358902,0.19339101016521454,0.2122136950492859
0.36248570680618286,0.334171324968338,0.3347975015640259,0.3149142265319824,0.3139844536781311
0.14475780725479126,0.1605653017759323,0.16784778237342834,0.16954907774925232,0.1606084704399109
0.32791104912757874,0.34828218817710876,0.341651976108551,0.35753604769706726,0.35062894225120544
0.1952730268239975,0.2362052947282791,0.20654809474945068,0.18453237414360046,0.17482316493988037
0.22295936942100525,0.20622539520263672,0.20961572229862213,0.237081378698349,0.224595308303833
0.13739286363124847,0.18746741116046906,0.18686611950397491,0.19432316720485687,0.19187778234481812
0.2973685562610626,0.2797514796257019,0.28802403807640076,0.27440381050109863,0.28204646706581116
0.190626859664917,0.19628550112247467,0.19707949459552765,0.19876477122306824,0.19676019251346588
0.1569017767906189,0.14742787182331085,0.15485723316669464,0.15433761477470398,0.14161135256290436
0.40622878074645996,0.4109673500061035,0.43519002199172974,0.3919053077697754,0.36916181445121765
0.1761203110218048,0.21570006012916565,0.2004372775554657,0.20514999330043793,0.2065262496471405
0.295611172914505,0.2954710125923157,0.29518741369247437,0.289641797542572,0.29043346643447876
0.09147051721811295,0.10533298552036285,0.11299215257167816,0.0891365110874176,0.10250703245401382
0.26961323618888855,0.27569451928138733,0.2609204053878784,0.27142950892448425,0.27143147587776184
0.10496971756219864,0.09986450523138046,0.10151059180498123,0.0898723229765892,0.10020250082015991
0.19691134989261627,0.2084624171257019,0.203439399600029,0.19651728868484497,0.20499630272388458
0.37671390175819397,0.3587830066680908,0.370414674282074,0.36489731073379517,0.37596237659454346
0.4247594177722931,0.4455551207065582,0.40394601225852966,0.40322044491767883,0.41831424832344055
